127.0.0.1 - - [20/Mar/2024:18:58:06 +0545] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:58:08 +0545] "GET /Ecommerce/index.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:58:08 +0545] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:58:33 +0545] "GET /Ecommerce/index.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:58:33 +0545] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:58:33 +0545] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:59:04 +0545] "GET /Ecommerce/index.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:59:41 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:59:42 +0545] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Mar/2024:18:59:42 +0545] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Mar/2024:19:00:11 +0545] "GET /Ecommerce/index.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [20/Mar/2024:19:00:12 +0545] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Mar/2024:19:00:12 +0545] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Mar/2024:19:00:55 +0545] "GET /Ecommerce/index.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [20/Mar/2024:19:00:55 +0545] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Mar/2024:19:00:55 +0545] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Mar/2024:19:08:47 +0545] "GET /Ecommerce/index.jsp HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [20/Mar/2024:19:08:48 +0545] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Mar/2024:19:08:48 +0545] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Mar/2024:19:08:56 +0545] "GET /Ecommerce/index.jsp HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [20/Mar/2024:19:22:57 +0545] "GET /Ecommerce/login.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [20/Mar/2024:19:23:05 +0545] "GET /Ecommerce/login.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [20/Mar/2024:19:23:13 +0545] "GET /Ecommerce/login.jsp HTTP/1.1" 200 1287
0:0:0:0:0:0:0:1 - - [20/Mar/2024:19:26:54 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [20/Mar/2024:19:31:36 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 1522
0:0:0:0:0:0:0:1 - - [20/Mar/2024:19:31:45 +0545] "GET /Ecommerce/index.jsp HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [20/Mar/2024:19:34:20 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 1752
0:0:0:0:0:0:0:1 - - [20/Mar/2024:19:38:13 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 1752
0:0:0:0:0:0:0:1 - - [20/Mar/2024:19:38:14 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 1752
0:0:0:0:0:0:0:1 - - [20/Mar/2024:19:38:15 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 1752
0:0:0:0:0:0:0:1 - - [20/Mar/2024:19:38:15 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 1752
0:0:0:0:0:0:0:1 - - [20/Mar/2024:19:38:15 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 1752
0:0:0:0:0:0:0:1 - - [20/Mar/2024:19:38:49 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 1752
