127.0.0.1 - - [27/Mar/2024:16:06:34 +0545] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Mar/2024:16:06:37 +0545] "GET /Ecommerce/index.jsp HTTP/1.1" 200 5536
0:0:0:0:0:0:0:1 - - [27/Mar/2024:16:06:37 +0545] "GET /Ecommerce/product-images/kheen.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2024:16:06:37 +0545] "GET /Ecommerce/product-images/dhimey.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2024:16:06:37 +0545] "GET /Ecommerce/product-images/sanodhimey.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2024:16:06:37 +0545] "GET /Ecommerce/product-images/Taa.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2024:16:06:37 +0545] "GET /Ecommerce/product-images/bhusay.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2024:16:06:37 +0545] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Mar/2024:16:06:39 +0545] "GET /Ecommerce/cartServlet?id=1 HTTP/1.1" 500 1301
0:0:0:0:0:0:0:1 - - [27/Mar/2024:16:06:42 +0545] "GET /Ecommerce/cartServlet?id=1 HTTP/1.1" 200 114
0:0:0:0:0:0:0:1 - - [27/Mar/2024:16:06:45 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 3510
0:0:0:0:0:0:0:1 - - [27/Mar/2024:16:07:18 +0545] "GET /Ecommerce/CheckOutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2024:16:07:18 +0545] "GET /Ecommerce/login.jsp HTTP/1.1" 200 2678
0:0:0:0:0:0:0:1 - - [27/Mar/2024:16:07:29 +0545] "POST /Ecommerce/user-LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2024:16:07:29 +0545] "GET /Ecommerce/index.jsp HTTP/1.1" 200 5920
0:0:0:0:0:0:0:1 - - [27/Mar/2024:16:07:32 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 3893
0:0:0:0:0:0:0:1 - - [27/Mar/2024:16:07:36 +0545] "GET /Ecommerce/CheckOutServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Mar/2024:16:07:44 +0545] "GET /Ecommerce/CheckOutServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Mar/2024:16:07:47 +0545] "GET /Ecommerce/CheckOutServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Mar/2024:16:10:04 +0545] "GET /Ecommerce/CheckOutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2024:16:10:04 +0545] "GET /Ecommerce/login.jsp HTTP/1.1" 200 2677
0:0:0:0:0:0:0:1 - - [27/Mar/2024:16:10:12 +0545] "POST /Ecommerce/user-LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2024:16:10:12 +0545] "GET /Ecommerce/index.jsp HTTP/1.1" 200 5919
0:0:0:0:0:0:0:1 - - [27/Mar/2024:16:10:16 +0545] "GET /Ecommerce/cartServlet?id=3 HTTP/1.1" 500 1301
0:0:0:0:0:0:0:1 - - [27/Mar/2024:16:10:18 +0545] "GET /Ecommerce/cartServlet?id=3 HTTP/1.1" 200 114
0:0:0:0:0:0:0:1 - - [27/Mar/2024:16:10:20 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 3888
0:0:0:0:0:0:0:1 - - [27/Mar/2024:16:10:23 +0545] "GET /Ecommerce/QuantityIncDecServlet?action=inc&id=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2024:16:10:23 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 3888
0:0:0:0:0:0:0:1 - - [27/Mar/2024:16:10:23 +0545] "GET /Ecommerce/QuantityIncDecServlet?action=inc&id=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2024:16:10:23 +0545] "GET /Ecommerce/cart.jsp HTTP/1.1" 200 3888
0:0:0:0:0:0:0:1 - - [27/Mar/2024:16:10:25 +0545] "GET /Ecommerce/CheckOutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Mar/2024:16:10:25 +0545] "GET /Ecommerce/order.jsp HTTP/1.1" 404 739
